freq;indic_de;geo\TIME_PERIOD,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;JAN;EA19,333096775 b,334470255 ,335266424 ,334572589 b,335288924 b,336044966 ,337764352 b,338562121 b,339787987 ,340541142 b,341145721 p,341902187 ep
A;JAN;EE,1338440 ,1335740 ,1333290 ,1329660 ,1325217 ,1320174 ,1315819 ,1314870 b,1315944 ,1315635 ,1319133 ,1324820 
A;JAN;EL,11060937 ,11094745 ,11119289 ,11123392 ,11086406 ,11003615 ,10926807 ,10858018 ,10783748 ,10768193 ,10741165 ,10724599 
A;JAN;ES,45668939 ,46239273 ,46486619 ,46667174 ,46818219 ,46727890 ,46512199 ,46449565 ,46440099 ,46528024 ,46658447 ,46937060 
A;JAN;EU27_2007,495985066 b,497780439 ,498867771 b,498674980 b,499771765 b,500900913 ,502988282 b,504294889 b,505991205 ,507224359 b,508266507 p,509395430 ep
A;JAN;EU27_2020,438725386 b,440047892 ,440660421 b,439942305 b,440552661 b,441257711 ,442883888 b,443666812 b,444802830 ,445534430 b,446098424 p,446824564 ep
A;JAN;EU28,500297033 b,502090235 ,503170618 b,502964837 b,504047749 b,505163053 ,507235091 b,508520205 b,510181874 ,511378572 b,512372000 p,513471676 ep
A;JAN;FI,5300484 ,5326314 ,5351427 ,5375276 ,5401267 ,5426674 ,5451270 ,5471753 ,5487308 ,5503297 ,5513130 ,5517919 
A;JAN;FR,64007193 ,64350226 ,64658856 ,64978721 ,65276983 ,65600350 ,66165980 b,66458153 ,66638391 ,66809816 ,66918941 p,67012883 p
A;JAN;FX,62134866 ,62465709 ,62765235 ,63070344 ,63375971 ,63697865 ,: ,: ,: ,: ,: ,: 
A;JAN;GE,4382070 ,4385429 ,4436391 ,4469250 ,4497617 ,: ,4490498 ,3729500 e,3720400 ,3726374 ,3729633 ,3723464 
A;JAN;HR,4311967 ,4309796 ,4302847 ,4289857 ,4275984 ,4262140 ,4246809 ,4225316 ,4190669 ,4154213 ,4105493 ,4076246 
A;JAN;HU,10045401 ,10030975 ,10014324 ,9985722 ,9931925 b,9908798 ,9877365 ,9855571 ,9830485 ,9797561 ,9778371 ,9772756 
A;JAN;IE,4457765 ,4521322 ,4549428 ,4570881 ,4589287 ,4609779 ,4637852 ,4677627 ,4726286 ,4784383 ,4830392 ,4904240 e
A;JAN;IS,315459 ,319368 ,317630 ,318452 ,319575 ,321857 ,325671 ,329100 ,332529 ,338349 ,348450 ,356991 
A;JAN;IT,58652875 ,59000586 ,59190143 ,59364690 ,59394207 ,59685227 ,60782668 ,60795612 ,60665551 ,60589445 ,60483973 ,60359546 
A;JAN;LI,35356 ,35589 ,35894 ,36149 ,36475 ,36838 ,37129 ,37366 ,37622 ,37810 ,38114 ,38378 
A;JAN;LT,3212605 ,3183856 ,3141976 ,3052588 ,3003641 ,2971905 ,2943472 ,2921262 ,2888558 ,2847904 ,2808901 ,2794184 
A;JAN;LU,483799 ,493500 ,502066 ,511840 ,524853 b,537039 ,549680 ,562958 ,576249 ,590667 b,602005 ,613894 
A;JAN;LV,2191810 ,2162834 ,2120504 ,2074605 ,2044813 ,2023825 ,2001468 ,1986096 ,1968957 ,1950116 ,1934379 ,1919968 
A;JAN;MC,: ,: ,: ,: ,: ,: ,: ,37700 e,38200 ,: ,38300 ,38300 e
A;JAN;MD,3572703 ,3567512 ,3563695 ,3560430 ,3559541 ,3559497 ,3557634 ,3555159 ,3553056 ,3550852 ,3547539 ,: 
A;JAN;ME,615543 ,617157 ,619001 ,619850 ,620308 ,620893 ,621521 ,622099 ,622218 ,622387 ,622359 ,622182 
A;JAN;MK,2045177 ,2048619 ,2052722 ,2057284 ,2059794 ,2062294 ,2065769 ,2069172 ,2071278 ,2073702 ,2075301 ,2077132 
A;JAN;MT,407832 ,410926 ,414027 ,414989 ,417546 ,422509 ,429424 ,439691 ,450415 ,460297 ,475701 ,493559 
A;JAN;NL,16405399 ,16485787 ,16574989 ,16655799 ,16730348 ,16779575 ,16829289 ,16900726 ,16979120 ,17081507 ,17181084 ,17282163 
A;JAN;NO,4737171 ,4799252 ,4858199 ,4920305 ,4985870 ,5051275 ,5107970 ,5166493 ,5210721 ,5258317 ,5295619 ,5328212 
A;JAN;PL,38115641 ,38135876 ,38022869 b,38062718 ,38063792 ,38062535 ,38017856 ,38005614 ,37967209 ,37972964 ,37976687 ,37972812 
A;JAN;PT,10553339 ,10563014 ,10573479 ,10572721 ,10542398 ,10487289 ,10427301 ,10374822 ,10341330 ,10309573 ,10291027 ,10276617 
A;JAN;RO,20635460 ,20440290 ,20294683 ,20199059 ,20095996 ,20020074 ,19947311 ,19870647 ,19760585 ,19643949 ,19530631 ,19414458 
A;JAN;RS,7365507 ,7334937 ,7306677 ,7251549 b,7216649 ,7181505 ,7146759 ,7114393 ,7076372 ,7040272 ,7001444 ,6963764 
A;JAN;RU,142008838 ,141903979 ,141914509 ,142856536 ,143056383 ,: ,143666931 ,: ,: ,: ,: ,: 
A;JAN;SE,9182927 ,9256347 ,9340682 ,9415570 ,9482855 ,9555893 ,9644864 ,9747355 ,9851017 ,9995153 ,10120242 ,10230185 
A;JAN;SI,2010269 b,2032362 ,2046976 ,2050189 ,2055496 ,2058821 ,2061085 ,2062874 ,2064188 ,2065895 ,2066880 ,2080908 
A;JAN;SK,5376064 ,5382401 ,5390410 ,5392446 ,5404322 ,5410836 ,5415949 ,5421349 ,5426252 ,5435343 ,5443120 ,5450421 
A;JAN;SM,32054 ,31269 ,: ,31863 ,33376 ,33562 ,32520 ,32789 ,33005 ,33196 ,34453 ,34590 
A;JAN;TR,70586256 ,71517100 ,72561312 ,73722988 ,74724269 ,75627384 ,76667864 ,77695904 ,78741053 ,79814871 ,80810525 ,82003882 
A;JAN;UA,46192309 ,45963359 ,45782592 ,45598179 ,45453282 ,45372692 ,45245894 ,42759661 b,42590879 ,42414905 ,42216766 ,41983564 
A;JAN;UK,61571647 ,62042343 ,62510197 ,63022532 ,63495088 ,63905342 ,64351203 ,64853393 ,65379044 ,65844142 ,66273576 ,66647112 
A;JAN;XK,2153139 ,2180686 ,2208107 ,1794180 b,1780021 e,1815606 e,1820631 e,1804944 e,1771604 e,1783531 e,1798506 e,1795666 
